NAME,year,CountOfCAMPNAME,SumOfCPETALLC,SumOfCPETECOPNUM,SumOfCPETLEPC,SumOfCPETBILC,SumOfCPETSPEC
A W Brown Leadership Academy,2000,1,171,81.9,0,0,2
A W Brown Leadership Academy,2001,1,231,87,0,0,0
A W Brown Leadership Academy,2002,1,450,88.2,0,0,9
A W Brown Leadership Academy,2003,1,528,75.9,0,0,28
A W Brown Leadership Academy,2004,1,782,83.5,0,0,74
A W Brown Leadership Academy,2005,2,885,179,0,0,89
A W Brown Leadership Academy,2006,2,1031,177.8,0,0,121
A W Brown Leadership Academy,2007,2,1104,172.5,0,0,139
A W Brown Leadership Academy,2008,2,1170,176.4,0,9,115
A W Brown Leadership Academy,2009,2,1223,173.5,14,14,108
A W Brown Leadership Academy,2010,2,1350,112.2,17,18,113
A W Brown Leadership Academy,2011,2,1395,170.9,15,16,95
A W Brown Leadership Academy,2012,2,1570,174.1,12,12,103
A W Brown Leadership Academy,2013,1,520,92.3,1,1,7
A W Brown Leadership Academy,2014,2,1991,163,15,15,127
A W Brown Leadership Academy,2015,2,2152,167.4,13,13,120
A W Brown Leadership Academy,2016,2,2161,163.9,20,20,108
A W Brown Leadership Academy,2017,2,2278,153.6,30,31,110
A W Brown Leadership Academy,2018,2,2144,176.7,23,24,90
A W Brown Leadership Academy,2019,2,1725,0,0,0,91
A+ Academy,2001,1,82,8.5,0,0,0
A+ Academy,2002,1,154,53.2,26,32,14
A+ Academy,2003,1,147,87.8,42,40,17
A+ Academy,2004,1,865,36.4,162,150,120
A+ Academy,2005,1,919,84.3,212,198,122
A+ Academy,2006,1,961,74.3,301,290,106
A+ Academy,2007,1,994,70.5,318,301,108
A+ Academy,2008,1,957,84.4,334,303,76
A+ Academy,2009,1,985,82.3,359,343,63
A+ Academy,2010,1,1033,91,354,341,63
A+ Academy,2011,1,1076,94,381,369,75
A+ Academy,2012,1,951,93.1,307,299,83
A+ Academy,2013,1,988,92.9,326,319,88
A+ Academy,2014,1,994,93.2,362,354,103
A+ Academy,2015,1,974,93.8,367,363,109
A+ Academy,2016,1,940,90.9,371,368,106
A+ Academy,2017,1,1068,93.1,492,489,104
A+ Academy,2018,2,1348,165.8,646,639,110
A+ Academy,2019,2,1399,0,0,161,133
A+ Unlimited Potential,2017,2,94,101.9,0,0,4
A+ Unlimited Potential,2018,2,155,88.6,6,4,17
A+ Unlimited Potential,2019,1,136,0,16,0,27
Academy For Academic Excellence,2000,1,539,100,0,0,13
Academy For Academic Excellence,2001,1,457,100,0,0,61
Academy For Academic Excellence,2002,1,578,99.8,4,1,59
Academy For Academic Excellence,2003,1,611,99.5,2,2,92
Academy For Academic Excellence,2004,1,539,100,32,10,99
Academy For Academic Excellence,2005,1,553,100,58,56,116
Academy For Academic Excellence,2006,1,656,100,34,34,106
Academy For Academic Excellence,2007,1,658,100,34,32,100
Academy For Academic Excellence,2008,1,657,100,31,31,94
Academy For Academic Excellence,2009,5,576,500,56,53,72
Academy For Academic Excellence,2010,5,497,498.2,49,49,69
Academy For Academic Excellence,2011,5,653,500,59,59,147
Academy For Academic Excellence,2012,5,583,500,74,74,128
Academy For Academic Excellence,2013,5,579,500,53,52,124
Academy For Academic Excellence,2014,5,535,500,45,45,137
Academy For Academic Excellence,2015,5,506,500,65,61,108
Academy For Academic Excellence,2016,5,486,500,71,65,97
Academy For Academic Excellence,2017,5,472,500,80,77,103
Academy For Academic Excellence,2018,5,521,500,111,107,126
Academy For Academic Excellence,2019,4,493,0,75,0,99
Academy of Accelerated Learning Inc,2002,1,514,60.3,88,0,0
Academy of Accelerated Learning Inc,2003,1,568,80.1,120,111,0
Academy of Accelerated Learning Inc,2004,1,595,41.2,71,71,0
Academy of Accelerated Learning Inc,2005,1,571,94.4,189,120,8
Academy of Accelerated Learning Inc,2006,1,662,56.6,200,151,11
Academy of Accelerated Learning Inc,2007,1,603,44.1,118,90,9
Academy of Accelerated Learning Inc,2008,1,487,97.7,201,163,6
Academy of Accelerated Learning Inc,2009,1,515,99,236,236,10
Academy of Accelerated Learning Inc,2010,1,574,98.4,259,261,14
Academy of Accelerated Learning Inc,2011,1,582,96,340,340,5
Academy of Accelerated Learning Inc,2012,1,757,95,358,340,6
Academy of Accelerated Learning Inc,2013,1,742,95.3,399,324,7
Academy of Accelerated Learning Inc,2014,1,702,97.9,380,345,4
Academy of Accelerated Learning Inc,2015,1,747,98.7,419,418,12
Academy of Accelerated Learning Inc,2016,1,773,85.3,412,410,13
Academy of Accelerated Learning Inc,2017,1,761,98.4,442,440,8
Academy of Accelerated Learning Inc,2018,1,715,98.2,432,432,7
Academy of Accelerated Learning Inc,2019,1,787,0,249,172,19
Academy Of Beaumont,2000,1,138,60.1,0,0,0
Academy Of Beaumont,2001,1,183,100,1,1,9
Academy Of Beaumont,2002,1,206,88.3,0,0,18
Academy Of Beaumont,2003,1,241,95.4,0,0,21
Academy Of Beaumont,2004,1,351,96.9,0,0,24
Academy Of Beaumont,2005,1,421,97.4,0,0,43
Academy Of Beaumont,2006,1,356,98.9,10,10,22
Academy Of Beaumont,2007,1,366,98.1,6,2,23
Academy Of Beaumont,2008,1,321,94.1,0,0,17
Academy Of Beaumont,2009,1,230,97.4,0,0,10
Academy Of Careers And Technologies,2001,1,40,77.5,0,0,4
Academy Of Careers And Technologies,2002,1,136,71.3,0,0,13
Academy Of Careers And Technologies,2003,1,91,78,0,0,14
Academy Of Careers And Technologies,2004,1,135,92.6,10,10,21
Academy Of Careers And Technologies,2005,1,151,92.1,4,4,28
Academy Of Careers And Technologies,2006,1,150,71.3,3,2,24
Academy Of Careers And Technologies,2007,1,127,80.3,3,2,14
Academy Of Careers And Technologies,2008,1,161,67.7,7,7,24
Academy Of Careers And Technologies,2009,1,156,70.5,3,1,27
Academy Of Careers And Technologies,2010,1,145,56.6,2,0,29
Academy Of Careers And Technologies,2011,1,162,50.6,4,4,21
Academy Of Careers And Technologies,2012,1,188,26.1,6,6,19
Academy Of Careers And Technologies,2013,1,192,36.5,12,12,19
Academy Of Careers And Technologies,2014,1,182,28.6,8,8,16
Academy Of Careers And Technologies,2015,1,221,36.7,4,7,10
Academy Of Careers And Technologies,2016,1,190,66.8,5,5,11
Academy Of Dallas,2000,1,178,43.8,0,0,0
Academy Of Dallas,2001,1,249,53.4,0,0,4
Academy Of Dallas,2002,1,376,58.8,0,0,12
Academy Of Dallas,2003,1,571,68,0,0,14
Academy Of Dallas,2004,1,598,86,0,0,32
Academy Of Dallas,2005,1,508,68.7,0,0,41
Academy Of Dallas,2006,1,496,92.5,4,4,31
Academy Of Dallas,2007,1,571,94.4,23,21,30
Academy Of Dallas,2008,1,510,94.1,13,11,22
Academy Of Dallas,2009,1,520,94.8,14,12,20
Academy Of Dallas,2010,1,535,96.6,21,21,28
Academy Of Dallas,2011,1,495,73.7,24,23,37
Academy Of Dallas,2012,1,537,78.6,43,43,32
Academy Of Dallas,2013,1,617,65.2,50,49,17
Academy Of Dallas,2014,1,603,54.6,49,51,83
Academy Of Dallas,2015,1,644,87.7,68,64,15
Academy Of Dallas,2016,1,604,97.5,79,73,60
Academy Of Dallas,2017,1,476,99.2,71,70,50
Academy Of Dallas,2018,1,432,97.5,65,67,41
Academy Of Dallas,2019,1,480,0,47,0,25
Academy Of Houston,1999,1,306,26.8,0,0,0
Academy Of Houston,2000,1,441,37,0,0,5
Academy Of Houston,2001,1,589,20.4,20,20,27
Academy Of Houston,2002,1,479,67.6,18,18,16
Academy Of Houston,2003,1,413,79.2,8,8,19
Accelerated Intermediate Academy,2002,1,104,72.1,0,0,21
Accelerated Intermediate Academy,2003,1,184,88,4,0,35
Accelerated Intermediate Academy,2004,1,453,91.8,34,30,53
Accelerated Intermediate Academy,2005,2,503,154.7,42,41,69
Accelerated Intermediate Academy,2006,6,815,529.2,40,40,81
Accelerated Intermediate Academy,2007,4,603,391.1,42,42,61
Accelerated Intermediate Academy,2008,3,692,294.2,64,64,54
Accelerated Intermediate Academy,2009,2,491,166.1,65,64,42
Accelerated Intermediate Academy,2010,2,454,153.2,122,121,50
Accelerated Intermediate Academy,2011,1,242,95.5,71,70,30
Accelerated Intermediate Academy,2012,1,258,96.5,82,81,19
Accelerated Intermediate Academy,2013,2,253,173.2,91,89,14
Accelerated Intermediate Academy,2014,2,250,194.8,82,80,15
Accelerated Intermediate Academy,2015,1,254,95.7,98,97,19
Accelerated Intermediate Academy,2016,1,281,96.8,110,109,19
Accelerated Intermediate Academy,2017,3,283,284,101,101,13
Accelerated Intermediate Academy,2018,2,269,195.8,84,84,7
Accelerated Intermediate Academy,2019,1,249,0,85,0,0
Advantage Academy,1999,1,80,63.8,0,0,15
Advantage Academy,2000,1,104,29.8,0,0,24
Advantage Academy,2001,1,410,49.3,5,0,26
Advantage Academy,2002,3,346,179.6,17,11,43
Advantage Academy,2003,1,187,78.1,8,8,18
Advantage Academy,2004,1,395,79,35,34,32
Advantage Academy,2005,1,404,84.4,38,37,38
Advantage Academy,2006,1,715,90.2,70,69,44
Advantage Academy,2007,1,1212,67.6,138,128,66
Advantage Academy,2008,1,1448,55.9,112,56,93
Advantage Academy,2009,1,1496,59,142,146,105
Advantage Academy,2010,1,1507,59.5,176,171,94
Advantage Academy,2011,1,1424,61,198,191,106
Advantage Academy,2012,1,1703,64.4,227,222,132
Advantage Academy,2013,1,1971,68,380,360,144
Advantage Academy,2014,1,1630,73.6,383,367,106
Advantage Academy,2015,1,1633,74,422,394,117
Advantage Academy,2016,1,1833,75.6,475,453,111
Advantage Academy,2017,1,1650,74.6,406,397,95
Advantage Academy,2018,1,1666,75.8,391,375,74
Advantage Academy,2019,1,1396,0,302,0,80
Alief Montessori Community School,1999,1,105,34.3,0,0,0
Alief Montessori Community School,2000,1,93,41.9,26,0,4
Alief Montessori Community School,2001,1,99,46.5,40,0,2
Alief Montessori Community School,2002,1,135,51.1,65,0,4
Alief Montessori Community School,2003,1,155,53.5,92,0,5
Alief Montessori Community School,2004,1,162,61.7,94,96,7
Alief Montessori Community School,2005,1,198,67.7,119,120,7
Alief Montessori Community School,2006,1,213,100,139,71,11
Alief Montessori Community School,2007,1,205,85.4,139,139,5
Alief Montessori Community School,2008,1,218,100,136,136,6
Alief Montessori Community School,2009,1,224,100,148,148,13
Alief Montessori Community School,2010,1,238,100,129,129,11
Alief Montessori Community School,2011,1,242,100,159,159,8
Alief Montessori Community School,2012,1,280,100,169,169,6
Alief Montessori Community School,2013,1,297,81.8,194,193,7
Alief Montessori Community School,2014,1,283,64.7,201,201,11
Alief Montessori Community School,2015,1,296,59.5,221,220,14
Alief Montessori Community School,2016,1,294,59.9,193,193,15
Alief Montessori Community School,2017,1,271,39.1,211,211,17
Alief Montessori Community School,2018,1,285,29.5,231,231,21
Alief Montessori Community School,2019,1,347,0,273,0,0
Alpha Charter School,2002,1,144,38.2,0,0,20
Alpha Charter School,2003,1,131,63.4,0,0,15
Alpha Charter School,2004,1,200,38,0,0,23
Alpha Charter School,2005,1,211,38.9,0,0,41
Alpha Charter School,2006,1,210,47.6,10,10,41
Alpha Charter School,2007,1,261,30.7,16,11,35
Alpha Charter School,2008,1,218,61.5,19,14,36
Alpha Charter School,2009,1,219,77.6,13,11,43
Alpha Charter School,2010,1,202,61.9,10,8,36
Alpha Charter School,2011,1,176,61.9,9,7,26
Alpha Charter School,2012,1,144,74.3,6,6,21
Alpha Charter School,2013,1,127,59.8,5,5,24
Alpha Charter School,2014,1,115,60,2,2,15
Alpha Charter School,2015,1,156,85.3,2,2,14
Alpha Charter School,2016,1,132,91.7,5,3,24
Alpha Charter School,2017,1,171,97.7,5,5,18
Alphonso Crutch's-Life Support Center,2000,1,275,40.4,0,0,5
Alphonso Crutch's-Life Support Center,2001,1,855,16.1,0,0,33
Alphonso Crutch's-Life Support Center,2002,1,1235,51.4,0,3,38
Alphonso Crutch's-Life Support Center,2003,1,917,38.5,9,7,25
Alphonso Crutch's-Life Support Center,2004,1,933,50.8,5,5,21
Alphonso Crutch's-Life Support Center,2005,1,596,60.7,0,0,26
Alphonso Crutch's-Life Support Center,2006,1,436,79.1,0,0,36
Alphonso Crutch's-Life Support Center,2007,1,434,39.9,0,0,19
Alphonso Crutch's-Life Support Center,2008,1,311,46,0,0,2
Alphonso Crutch's-Life Support Center,2009,1,179,67.6,0,0,11
Ambassadors Preparatory Academy,2008,1,114,94.7,0,0,4
Ambassadors Preparatory Academy,2009,1,129,87.6,0,0,9
Ambassadors Preparatory Academy,2010,1,181,92.8,0,0,15
Ambassadors Preparatory Academy,2011,1,277,63.9,0,0,15
Ambassadors Preparatory Academy,2012,1,225,75.6,0,0,13
Ambassadors Preparatory Academy,2013,1,329,90.9,0,0,16
Ambassadors Preparatory Academy,2014,1,320,90.6,0,0,17
Ambassadors Preparatory Academy,2015,1,302,85.4,0,0,18
Ambassadors Preparatory Academy,2016,1,278,85.6,0,0,12
Ambassadors Preparatory Academy,2017,1,281,87.9,0,0,12
Ambassadors Preparatory Academy,2018,1,295,84.7,0,0,10
Ambassadors Preparatory Academy,2019,1,281,0,0,0,10
American Academy Of Excellence Charter,2000,1,49,87.8,0,0,3
American Academy Of Excellence Charter,2001,1,223,61.9,0,0,15
American Academy Of Excellence Charter,2002,1,370,44.1,2,0,29
American Academy Of Excellence Charter,2003,1,268,80.2,6,5,20
American Academy Of Excellence Charter,2004,1,167,88.6,1,1,8
American Academy Of Excellence Charter,2005,1,150,77.3,11,10,11
American Academy Of Excellence Charter,2006,1,144,84,4,4,23
American Academy Of Excellence Charter,2007,1,150,88.7,4,4,11
American Youthworks Charter School,1997,1,93,80.6,0,0,0
American Youthworks Charter School,1998,1,155,71,5,5,12
American Youthworks Charter School,1999,1,239,71.5,10,6,17
American Youthworks Charter School,2000,1,233,64.4,2,1,27
American Youthworks Charter School,2001,1,231,48.5,17,15,27
American Youthworks Charter School,2002,1,257,59.9,18,6,27
American Youthworks Charter School,2003,1,350,61.7,7,5,35
American Youthworks Charter School,2004,2,428,86.4,11,8,62
American Youthworks Charter School,2005,2,433,87,18,9,64
American Youthworks Charter School,2006,2,434,104.6,31,3,59
American Youthworks Charter School,2007,2,422,129,21,12,63
American Youthworks Charter School,2008,2,464,124.7,52,36,76
American Youthworks Charter School,2009,2,309,134.4,29,20,60
American Youthworks Charter School,2010,2,306,127.8,17,14,55
American Youthworks Charter School,2011,2,257,119.1,31,31,45
American Youthworks Charter School,2012,1,115,60,18,14,16
American Youthworks Charter School,2013,1,123,58.5,7,6,28
American Youthworks Charter School,2014,1,167,61.7,9,6,33
Amigos Por Vida-Friends For Life Public Charter School,2000,1,244,91.8,212,209,1
Amigos Por Vida-Friends For Life Public Charter School,2001,1,315,94,0,0,0
Amigos Por Vida-Friends For Life Public Charter School,2002,1,366,93.4,143,144,0
Amigos Por Vida-Friends For Life Public Charter School,2003,1,352,96.6,322,321,0
Amigos Por Vida-Friends For Life Public Charter School,2004,1,317,96.8,292,295,18
Amigos Por Vida-Friends For Life Public Charter School,2005,1,302,98.3,289,294,14
Amigos Por Vida-Friends For Life Public Charter School,2006,1,329,99.7,314,324,16
Amigos Por Vida-Friends For Life Public Charter School,2007,1,372,97.6,341,361,18
Amigos Por Vida-Friends For Life Public Charter School,2008,1,432,98.1,389,423,26
Amigos Por Vida-Friends For Life Public Charter School,2009,1,471,97.2,426,471,26
Amigos Por Vida-Friends For Life Public Charter School,2010,1,482,99.6,429,451,27
Amigos Por Vida-Friends For Life Public Charter School,2011,1,475,98.9,445,455,28
Amigos Por Vida-Friends For Life Public Charter School,2012,1,485,98.6,448,483,27
Amigos Por Vida-Friends For Life Public Charter School,2013,1,510,99,461,475,23
Amigos Por Vida-Friends For Life Public Charter School,2014,1,521,97.7,482,501,30
Amigos Por Vida-Friends For Life Public Charter School,2015,1,500,98.6,461,472,21
Amigos Por Vida-Friends For Life Public Charter School,2016,1,527,97,475,475,24
Amigos Por Vida-Friends For Life Public Charter School,2017,1,499,96.6,421,420,30
Amigos Por Vida-Friends For Life Public Charter School,2018,1,513,98.4,431,430,40
Amigos Por Vida-Friends For Life Public Charter School,2019,1,508,0,94,278,31
Aristoi Classical Academy,1997,1,122,0,3,0,38
Aristoi Classical Academy,1998,1,102,2.9,4,0,33
Aristoi Classical Academy,1999,2,153,0,0,0,34
Aristoi Classical Academy,2000,2,237,0,5,0,50
Aristoi Classical Academy,2001,2,228,0,0,0,30
Aristoi Classical Academy,2002,2,192,0,0,0,21
Aristoi Classical Academy,2003,2,186,0,0,0,26
Aristoi Classical Academy,2004,2,245,0,0,0,37
Aristoi Classical Academy,2005,2,215,0,0,0,34
Aristoi Classical Academy,2006,2,138,0,0,0,32
Aristoi Classical Academy,2007,2,178,0,0,0,19
Aristoi Classical Academy,2008,1,245,0,0,0,23
Aristoi Classical Academy,2009,1,317,18,0,0,23
Aristoi Classical Academy,2010,1,307,19.9,0,0,27
Aristoi Classical Academy,2011,1,305,28.9,0,0,21
Aristoi Classical Academy,2012,1,305,28.2,15,18,24
Aristoi Classical Academy,2013,1,320,23.8,19,18,30
Aristoi Classical Academy,2014,1,430,24.7,18,17,26
Aristoi Classical Academy,2015,2,539,37.3,31,27,30
Aristoi Classical Academy,2016,2,644,31.9,27,27,35
Aristoi Classical Academy,2017,2,779,33.2,23,23,43
Aristoi Classical Academy,2018,2,856,48,30,30,61
Aristoi Classical Academy,2019,2,956,0,0,0,96
Arlington Classics Academy,2000,1,311,0,0,1,8
Arlington Classics Academy,2001,1,272,5.5,0,0,14
Arlington Classics Academy,2002,1,246,4.1,0,0,15
Arlington Classics Academy,2003,1,259,7.3,12,12,14
Arlington Classics Academy,2004,1,249,18.9,10,10,8
Arlington Classics Academy,2005,1,274,22.6,9,9,25
Arlington Classics Academy,2006,1,355,4.5,9,10,16
Arlington Classics Academy,2007,1,404,6.7,10,9,34
Arlington Classics Academy,2008,1,430,4.9,8,8,22
Arlington Classics Academy,2009,1,461,1.7,7,5,27
Arlington Classics Academy,2010,1,502,6.6,12,10,17
Arlington Classics Academy,2011,1,495,5.3,9,8,19
Arlington Classics Academy,2012,3,997,52.6,39,25,24
Arlington Classics Academy,2013,3,1176,60.4,45,22,34
Arlington Classics Academy,2014,3,1284,62,43,31,43
Arlington Classics Academy,2015,3,1392,54.2,64,54,54
Arlington Classics Academy,2016,3,1442,61.6,66,44,53
Arlington Classics Academy,2017,3,1486,56.3,66,52,49
Arlington Classics Academy,2018,3,1532,56.5,69,62,51
Arlington Classics Academy,2019,3,1561,0,94,0,52
Arrow Academy,2012,4,571,286.9,2,0,17
Arrow Academy,2013,6,867,470.2,114,114,34
Arrow Academy,2014,6,927,504.9,192,189,41
Arrow Academy,2015,7,844,517.9,220,215,31
Arrow Academy,2016,5,547,378.9,57,56,25
Arrow Academy,2017,4,491,316.9,47,47,34
Arrow Academy,2018,4,621,363.4,79,75,40
Arrow Academy,2019,4,784,0,49,0,48
Austin Achieve Public Schools,2013,1,118,94.1,43,43,9
Austin Achieve Public Schools,2014,1,278,30.2,139,139,19
Austin Achieve Public Schools,2015,1,411,93.4,180,178,52
Austin Achieve Public Schools,2016,1,548,93.4,311,310,59
Austin Achieve Public Schools,2017,1,702,89.2,393,393,86
Austin Achieve Public Schools,2018,1,809,93.9,462,459,104
Austin Achieve Public Schools,2019,3,1869,0,966,0,182
Austin Can Academy Charter School,2003,1,81,66.7,0,0,11
Austin Can Academy Charter School,2004,1,179,67,1,1,34
Austin Can Academy Charter School,2005,1,243,85.6,36,10,43
Austin Can Academy Charter School,2006,1,371,49.6,54,39,74
Austin Can Academy Charter School,2007,1,271,85.2,82,77,55
Austin Can Academy Charter School,2008,1,301,67.1,76,75,50
Austin Can Academy Charter School,2009,1,290,92.8,45,45,57
Austin Can Academy Charter School,2010,1,357,88.2,79,79,60
Austin Can Academy Charter School,2011,1,363,90.4,94,90,67
Austin Can Academy Charter School,2012,1,297,88.9,65,63,51
Austin Can Academy Charter School,2013,1,387,86.3,89,88,50
Austin Discovery School,2006,1,137,0,0,0,7
Austin Discovery School,2007,1,213,0,2,2,13
Austin Discovery School,2008,1,231,15.6,18,16,19
Austin Discovery School,2009,1,235,10.6,18,16,15
Austin Discovery School,2010,1,317,17.4,20,19,16
Austin Discovery School,2011,1,375,18.1,15,15,24
Austin Discovery School,2012,1,400,13.5,16,16,22
Austin Discovery School,2013,1,395,21.3,14,13,30
Austin Discovery School,2014,1,374,20.6,9,8,31
Austin Discovery School,2015,1,491,20.8,12,10,34
Austin Discovery School,2016,1,543,18.6,18,20,42
Austin Discovery School,2017,1,556,11.7,15,15,47
Austin Discovery School,2018,1,524,24.8,10,10,47
Austin Discovery School,2019,1,451,0,0,0,53
Azleway Charter School,2002,1,71,95.8,0,0,48
Azleway Charter School,2003,1,81,100,0,0,43
Azleway Charter School,2004,1,88,100,0,0,62
Azleway Charter School,2005,1,91,100,0,0,65
Azleway Charter School,2006,1,91,100,0,0,71
Azleway Charter School,2007,1,87,100,0,0,57
Azleway Charter School,2008,2,133,197.8,0,0,66
Azleway Charter School,2009,2,122,200,0,0,80
Azleway Charter School,2010,2,139,196,0,0,94
Azleway Charter School,2011,2,130,200,0,0,71
Azleway Charter School,2012,2,134,197.8,0,0,71
Azleway Charter School,2013,2,161,200,0,0,95
Azleway Charter School,2014,2,162,195,0,0,81
Basis Texas,2014,1,508,5.5,0,0,12
Basis Texas,2015,2,1052,0,2,2,0
Basis Texas,2016,2,1305,13.6,7,7,16
Basis Texas,2017,2,1384,14.4,33,44,15
Basis Texas,2018,3,2452,12.8,178,150,40
Basis Texas,2019,3,2579,0,319,0,53
Bay Area Charter Inc,1999,1,147,15,4,0,8
Bay Area Charter Inc,2000,1,157,20.4,7,0,15
Bay Area Charter Inc,2001,2,215,25.2,8,8,18
Bay Area Charter Inc,2002,2,237,15.1,15,12,15
Bay Area Charter Inc,2003,2,242,59.1,1,8,15
Bay Area Charter Inc,2004,2,277,56.5,15,16,25
Bay Area Charter Inc,2005,3,303,98.7,27,27,40
Bay Area Charter Inc,2006,3,338,106.8,19,20,36
Bay Area Charter Inc,2007,3,295,122.5,14,13,35
Bay Area Charter Inc,2008,3,289,104.4,19,18,40
Bay Area Charter Inc,2009,3,328,124.7,18,18,48
Bay Area Charter Inc,2010,3,366,122.4,27,27,57
Bay Area Charter Inc,2011,3,367,109.9,24,24,62
Bay Area Charter Inc,2012,3,373,118.8,26,25,65
Bay Area Charter Inc,2013,3,360,113.5,25,25,56
Bay Area Charter Inc,2014,3,416,112.4,21,21,67
Bay Area Charter Inc,2015,3,419,109.1,15,15,57
Beatrice Mayes Institute Charter School,2002,1,236,66.1,0,0,4
Beatrice Mayes Institute Charter School,2003,1,270,64.4,0,0,11
Beatrice Mayes Institute Charter School,2004,1,286,62.9,0,0,15
Beatrice Mayes Institute Charter School,2005,1,321,60.1,0,0,19
Beatrice Mayes Institute Charter School,2006,1,340,56.5,0,0,23
Beatrice Mayes Institute Charter School,2007,1,347,73.8,0,0,26
Beatrice Mayes Institute Charter School,2008,1,372,71.5,0,0,27
Beatrice Mayes Institute Charter School,2009,1,416,70,0,0,23
Beatrice Mayes Institute Charter School,2010,1,415,74.5,0,0,24
Beatrice Mayes Institute Charter School,2011,1,430,80.5,0,0,28
Beatrice Mayes Institute Charter School,2012,1,443,79.5,0,0,30
Beatrice Mayes Institute Charter School,2013,1,450,76.9,0,0,29
Beatrice Mayes Institute Charter School,2014,1,424,75,0,0,28
Beatrice Mayes Institute Charter School,2015,1,472,68.6,0,0,31
Beatrice Mayes Institute Charter School,2016,1,455,76.9,0,0,41
Beatrice Mayes Institute Charter School,2017,1,482,74.7,0,0,39
Beatrice Mayes Institute Charter School,2018,1,445,73.5,0,0,31
Beatrice Mayes Institute Charter School,2019,1,472,0,0,0,27
Benji's Special Educational Academy,2000,1,136,99.3,0,0,47
Benji's Special Educational Academy,2001,1,214,100,0,0,34
Benji's Special Educational Academy,2002,1,356,100,0,0,61
Benji's Special Educational Academy,2003,1,411,97.1,0,0,69
Benji's Special Educational Academy,2004,1,402,99.8,0,0,61
Benji's Special Educational Academy,2005,1,496,97.6,1,0,78
Benji's Special Educational Academy,2006,1,611,87.9,1,0,81
Benji's Special Educational Academy,2007,1,635,98.4,1,0,94
Benji's Special Educational Academy,2008,1,560,99.8,0,0,90
Benji's Special Educational Academy,2009,1,520,79.6,0,0,83
Benji's Special Educational Academy,2010,1,496,58.7,0,0,98
Benji's Special Educational Academy,2011,1,268,83.2,0,0,31
Beta Academy,2016,1,467,61.2,110,93,14
Beta Academy,2017,1,542,63.5,138,118,22
Beta Academy,2018,1,549,38.6,110,103,27
Beta Academy,2019,1,885,0,26,0,72
Betty M Condra School For Educatio,2019,1,64,0,0,0,18
Bexar County Academy,2000,1,82,9.8,0,0,0
Bexar County Academy,2001,1,115,85.2,0,0,11
Bexar County Academy,2002,1,284,62,21,21,21
Bexar County Academy,2003,1,285,72.3,32,10,19
Bexar County Academy,2004,1,424,59.9,32,31,36
Bexar County Academy,2005,1,514,97.9,56,55,42
Bexar County Academy,2006,1,524,97.7,47,44,34
Bexar County Academy,2007,1,501,97.2,64,57,42
Bexar County Academy,2008,1,504,96,66,59,26
Bexar County Academy,2009,1,485,88.2,88,82,22
Bexar County Academy,2010,1,482,95.9,100,94,24
Bexar County Academy,2011,1,509,96.7,81,79,34
Bexar County Academy,2012,1,502,94.4,95,101,47
Bexar County Academy,2013,1,458,29.3,89,90,43
Bexar County Academy,2014,1,505,35,102,95,58
Bexar County Academy,2015,1,432,85,87,83,51
Bexar County Academy,2016,1,444,88.1,87,84,58
Bexar County Academy,2017,1,368,98.6,61,59,42
Bexar County Academy,2018,1,374,96.3,96,93,39
Bexar County Academy,2019,1,355,0,62,24,33
Big Springs Charter School,2002,1,16,93.8,0,0,14
Big Springs Charter School,2003,1,15,93.3,0,0,13
Big Springs Charter School,2004,1,28,82.1,0,0,21
Big Springs Charter School,2005,1,66,72.7,0,0,36
Big Springs Charter School,2006,2,79,182.1,2,2,53
Big Springs Charter School,2007,2,101,192.2,0,0,80
Big Springs Charter School,2008,2,115,189.6,5,5,100
Big Springs Charter School,2009,2,117,184.3,0,0,106
Big Springs Charter School,2010,2,124,193.9,1,1,96
Big Springs Charter School,2011,2,144,190.3,2,2,85
Big Springs Charter School,2012,2,171,190.1,1,1,120
Big Springs Charter School,2013,2,165,185.5,6,3,100
Big Springs Charter School,2014,2,186,183.4,4,3,94
Big Springs Charter School,2015,2,231,141.2,4,4,98
Big Springs Charter School,2016,2,205,182.2,3,3,99
Big Springs Charter School,2017,2,204,184.5,1,1,91
Big Springs Charter School,2018,2,233,178.7,4,4,99
Big Springs Charter School,2019,2,223,0,0,0,106
Bloom Academy Charter School,2019,1,41,0,0,0,0
Bob Hope School,2011,1,204,86.8,0,0,29
Bob Hope School,2012,1,245,91,23,12,25
Bob Hope School,2013,1,243,91.4,15,10,17
Bob Hope School,2014,1,246,92.7,20,14,10
Bob Hope School,2015,1,447,89.3,77,41,22
Bob Hope School,2016,1,516,87.4,108,66,25
Bob Hope School,2017,2,850,183.9,336,332,35
Bob Hope School,2018,2,976,181,451,439,43
Bob Hope School,2019,3,1943,0,0,0,45
Brazos River Charter School,2001,1,57,54.4,0,0,0
Brazos River Charter School,2002,1,81,50.6,0,0,9
Brazos River Charter School,2003,1,114,52.6,0,0,26
Brazos River Charter School,2004,1,125,48.8,0,0,17
Brazos River Charter School,2005,1,137,51.1,0,0,34
Brazos River Charter School,2006,1,137,53.3,0,0,27
Brazos River Charter School,2007,1,135,51.1,0,0,24
Brazos River Charter School,2008,1,138,50.7,0,0,24
Brazos River Charter School,2009,1,137,52.6,0,0,27
Brazos River Charter School,2010,1,157,60.5,0,0,35
Brazos River Charter School,2011,1,130,66.2,0,0,23
